20080102    -1608.620041       -0.000161 20000000.000000 10000000.000000 10000000.000000
20080103    19921.498488        0.001992  2539357.123074 10000000.000000 10000000.000000
20080104   -38915.760048       -0.003892  1262227.633401 10000000.000000 10000000.000000
20080107     -831.970889       -0.000083  1958724.966514 10000000.000000 10000000.000000
20080108     7077.431889        0.000708  1847039.523380 10000000.000000 10000000.000000
20080109    22322.933490        0.002232  1705217.535389 10000000.000000 10000000.000000
20080110    -1735.112151       -0.000174  1899274.816129 10000000.000000 10000000.000000
20080111    32697.942761        0.003270  1059870.912545 10000000.000000 10000000.000000
20080114    58318.228625        0.005832  1514170.162233 10000000.000000 10000000.000000
20080115    80533.346172        0.008053  1575737.295971 10000000.000000 10000000.000000
20080116    31864.209535        0.003186  1478499.898788 10000000.000000 10000000.000000
20080117    64139.121112        0.006414  1438326.597847 10000000.000000 10000000.000000
20080118   -13077.492290       -0.001308   981119.402356 10000000.000000 10000000.000000
20080121    55918.888272        0.005592  1705564.701911 10000000.000000 10000000.000000
20080122     8055.606928        0.000806  1568746.454980 10000000.000000 10000000.000000
20080123   -64964.318598       -0.006496  1249584.394854 10000000.000000 10000000.000000
20080124    14764.359826        0.001476  1338349.326566 10000000.000000 10000000.000000
20080125    -8850.243983       -0.000885  1020183.206844 10000000.000000 10000000.000000
20080128    42120.195044        0.004212  1571584.730183 10000000.000000 10000000.000000
20080129   -23364.288988       -0.002336  1553406.893060 10000000.000000 10000000.000000
20080130    71628.158414        0.007163  1265021.810833 10000000.000000 10000000.000000
20080131    85722.796718        0.008572  1049317.503347 10000000.000000 10000000.000000
20080201    19808.280539        0.001981  1579584.570053 10000000.000000 10000000.000000
20080204   -55885.774933       -0.005589  1391355.687996 10000000.000000 10000000.000000
20080205   -41607.045936       -0.004161  1572376.110999 10000000.000000 10000000.000000
20080213    27221.221697        0.002722   831534.219724 10000000.000000 10000000.000000
20080214    -9088.455650       -0.000909  1111508.800540 10000000.000000 10000000.000000
20080215    39393.139511        0.003939  1717997.118003 10000000.000000 10000000.000000
20080218    30869.006773        0.003087  1404747.033094 10000000.000000 10000000.000000
20080219   -21140.604774       -0.002114  1984112.532086 10000000.000000 10000000.000000
20080220    -3353.984090       -0.000335  1289652.556947 10000000.000000 10000000.000000
20080221    29710.145184        0.002971  1483089.551669 10000000.000000 10000000.000000
20080222    51878.277463        0.005188  1535279.374896 10000000.000000 10000000.000000
20080225    46898.212138        0.004690  1938335.148007 10000000.000000 10000000.000000
20080226    13948.638894        0.001395  2164535.427593 10000000.000000 10000000.000000
20080227   -29564.610564       -0.002956  1392764.491966 10000000.000000 10000000.000000
20080228     3348.332534        0.000335  1527418.860685 10000000.000000 10000000.000000
20080229   -18885.452361       -0.001889  1485818.612280 10000000.000000 10000000.000000
20080303   -46105.278901       -0.004611  1946109.179431 10000000.000000 10000000.000000
20080304   -23558.503999       -0.002356  1712973.123362 10000000.000000 10000000.000000
20080305   -23155.748213       -0.002316  1438938.523582 10000000.000000 10000000.000000
20080306    57540.093610        0.005754  1421246.373214 10000000.000000 10000000.000000
20080307    59252.525929        0.005925  1360786.721236 10000000.000000 10000000.000000
20080310    22240.898219        0.002224  1486578.101053 10000000.000000 10000000.000000
20080311   -39663.925395       -0.003966  1199709.378080 10000000.000000 10000000.000000
20080312    98887.577140        0.009889  1128622.341639 10000000.000000 10000000.000000
20080313    56130.739026        0.005613  1148215.910292 10000000.000000 10000000.000000
20080314    36185.281808        0.003619  1042620.227887 10000000.000000 10000000.000000
20080317    91233.348842        0.009123  1017369.513742 10000000.000000 10000000.000000
20080318   -16854.863894       -0.001685  1446249.841721 10000000.000000 10000000.000000
20080319  -126533.911181       -0.012653  1199382.660716 10000000.000000 10000000.000000
20080320   -89736.947865       -0.008974  1305518.590147 10000000.000000 10000000.000000
20080321   -29421.348096       -0.002942  1530021.038043 10000000.000000 10000000.000000
20080324    39550.142271        0.003955  1409351.857972 10000000.000000 10000000.000000
20080325   -32205.757571       -0.003221  1813346.713907 10000000.000000 10000000.000000
20080326    99472.324185        0.009947  1353664.855664 10000000.000000 10000000.000000
20080327   145955.017410        0.014596  1389323.196289 10000000.000000 10000000.000000
20080328   -58003.990788       -0.005800  1669678.260951 10000000.000000 10000000.000000
20080331   103107.841525        0.010311  2106432.515513 10000000.000000 10000000.000000
20080401    -9112.515879       -0.000911  1734925.053360 10000000.000000 10000000.000000
20080402   -27138.139121       -0.002714  1253338.069162 10000000.000000 10000000.000000
20080403   -34091.572060       -0.003409  2113298.119519 10000000.000000 10000000.000000
20080407   -48242.154001       -0.004824  1695012.574333 10000000.000000 10000000.000000
20080408   -38350.186040       -0.003835  1987653.619019 10000000.000000 10000000.000000
20080409   116139.854187        0.011614  1862512.500848 10000000.000000 10000000.000000
20080410   -68523.605559       -0.006852  1317495.216182 10000000.000000 10000000.000000
20080411    49633.962248        0.004963  2017158.645643 10000000.000000 10000000.000000
20080414    43709.458890        0.004371  1744756.775495 10000000.000000 10000000.000000
20080415   -55484.309971       -0.005548  1229496.762774 10000000.000000 10000000.000000
20080416    68954.507025        0.006895  1997070.166695 10000000.000000 10000000.000000
20080417    13235.519664        0.001324  1592476.857998 10000000.000000 10000000.000000
20080418    13649.862573        0.001365  1675900.288382 10000000.000000 10000000.000000
20080421    22089.318503        0.002209  2834989.389101 10000000.000000 10000000.000000
20080422   -46904.297972       -0.004690  2546330.121774 10000000.000000 10000000.000000
20080423   -24276.391189       -0.002428  2320678.004302 10000000.000000 10000000.000000
