20090105   148063.350552        0.014806 10000000.000000 10000000.000000       -0.000000
20090106   363348.257690        0.036335        0.000000 10000000.000000       -0.000000
20090107    61624.780283        0.006162        0.000000 10000000.000000       -0.000000
20090108  -134478.204038       -0.013448        0.000000 10000000.000000       -0.000000
20090109   289347.713792        0.028935   800000.000000 10000000.000000       -0.000000
20090112   123773.189496        0.012377  1200000.000000 10000000.000000       -0.000000
20090113  -260984.561204       -0.026098  1800000.000000 10000000.000000       -0.000000
20090114   347765.882741        0.034777   800000.000000 10000000.000000       -0.000000
20090115    76331.210422        0.007633   800000.000000 10000000.000000       -0.000000
20090116    48392.696332        0.004839   800000.000000 10000000.000000       -0.000000
20090119   -17220.724215       -0.001722  1600000.000000 10000000.000000       -0.000000
20090120   110709.214268        0.011071  1000000.000000 10000000.000000       -0.000000
20090121   -33982.480462       -0.003398  1000000.000000 10000000.000000       -0.000000
20090122   135793.376935        0.013579  1000000.000000 10000000.000000       -0.000000
20090123   -38706.604614       -0.003871   600000.000000 10000000.000000       -0.000000
20090202   306791.144338        0.030679  1000000.000000 10000000.000000       -0.000000
20090203   270830.481864        0.027083  1200000.000000 10000000.000000       -0.000000
20090204   192546.486707        0.019255  1400000.000000 10000000.000000       -0.000000
20090205  -136422.999741       -0.013642   800000.000000 10000000.000000       -0.000000
20090206   417392.498175        0.041739  1000000.000000 10000000.000000       -0.000000
20090209   281420.625597        0.028142   800000.000000 10000000.000000       -0.000000
20090210   266486.169643        0.026649   800000.000000 10000000.000000       -0.000000
20090211    10224.200431        0.001022  1200000.000000 10000000.000000       -0.000000
20090212   173776.336476        0.017378   800000.000000 10000000.000000       -0.000000
20090213   365539.235331        0.036554   800000.000000 10000000.000000       -0.000000
20090216   143111.682291        0.014311  1200000.000000 10000000.000000       -0.000000
20090217  -386329.054304       -0.038633  1000000.000000 10000000.000000       -0.000000
20090218  -333702.701392       -0.033370  1600000.000000 10000000.000000       -0.000000
20090219   235421.283130        0.023542  1200000.000000 10000000.000000       -0.000000
20090220   307031.449026        0.030703   600000.000000 10000000.000000       -0.000000
20090223   344346.884666        0.034435   400000.000000 10000000.000000       -0.000000
20090224  -424829.375145       -0.042483   800000.000000 10000000.000000       -0.000000
20090225   144082.501639        0.014408  1000000.000000 10000000.000000       -0.000000
20090226  -643287.440462       -0.064329   200000.000000 10000000.000000       -0.000000
20090227  -545258.621687       -0.054526   800000.000000 10000000.000000       -0.000000
20090302   290370.414486        0.029037   600000.000000 10000000.000000       -0.000000
20090303   124245.120387        0.012425  1000000.000000 10000000.000000       -0.000000
20090304   584121.233430        0.058412   800000.000000 10000000.000000       -0.000000
20090305   143364.881405        0.014336   800000.000000 10000000.000000       -0.000000
20090306   -80769.540017       -0.008077  1200000.000000 10000000.000000       -0.000000
20090309  -408730.123763       -0.040873  1400000.000000 10000000.000000       -0.000000
20090310   273434.900867        0.027343   600000.000000 10000000.000000       -0.000000
20090311   -42945.852728       -0.004295  1200000.000000 10000000.000000       -0.000000
20090312    45967.128758        0.004597  1200000.000000 10000000.000000       -0.000000
20090313   -65670.561038       -0.006567   800000.000000 10000000.000000       -0.000000
20090316   192262.962601        0.019226  1600000.000000 10000000.000000       -0.000000
20090317   366640.144492        0.036664  1200000.000000 10000000.000000       -0.000000
20090318   117457.564122        0.011746  1800000.000000 10000000.000000       -0.000000
20090319   224746.928744        0.022475   800000.000000 10000000.000000       -0.000000
20090320   -47593.696470       -0.004759  1000000.000000 10000000.000000       -0.000000
20090323   153009.212089        0.015301  1000000.000000 10000000.000000       -0.000000
20090324    43854.571412        0.004385  1200000.000000 10000000.000000       -0.000000
20090325  -213418.412821       -0.021342  1400000.000000 10000000.000000       -0.000000
20090326   255773.532407        0.025577  1400000.000000 10000000.000000       -0.000000
20090327   114690.472901        0.011469  1600000.000000 10000000.000000       -0.000000
20090330    83463.468486        0.008346  2600000.000000 10000000.000000       -0.000000
20090331    88725.127700        0.008873  2000000.000000 10000000.000000       -0.000000
20090401   185962.838239        0.018596  1800000.000000 10000000.000000       -0.000000
20090402    13552.349167        0.001355  1600000.000000 10000000.000000       -0.000000
20090403   -67549.390803       -0.006755  2200000.000000 10000000.000000       -0.000000
20090407   118412.183998        0.011841  1600000.000000 10000000.000000       -0.000000
20090408  -318788.476393       -0.031879  2400000.000000 10000000.000000       -0.000000
20090409   177359.708522        0.017736  1600000.000000 10000000.000000       -0.000000
20090410   274283.127762        0.027428  1000000.000000 10000000.000000       -0.000000
20090413   133657.544456        0.013366  2600000.000000 10000000.000000       -0.000000
20090414   204017.453189        0.020402  1800000.000000 10000000.000000       -0.000000
20090415   127582.014465        0.012758  1800000.000000 10000000.000000       -0.000000
20090416   107039.164643        0.010704  2000000.000000 10000000.000000       -0.000000
20090417   -80030.530406       -0.008003  1600000.000000 10000000.000000       -0.000000
20090420   249110.747081        0.024911  2600000.000000 10000000.000000       -0.000000
20090421   -54753.681772       -0.005475  2800000.000000 10000000.000000       -0.000000
20090422  -407735.459684       -0.040774  3000000.000000 10000000.000000       -0.000000
20090423    48838.876720        0.004884  3400000.000000 10000000.000000       -0.000000
20090424   -19213.090415       -0.001921  3400000.000000 10000000.000000       -0.000000
20090427  -312963.964370       -0.031296  3400000.000000 10000000.000000       -0.000000
20090428    89052.309224        0.008905  6200000.000000 10000000.000000       -0.000000
20090429   216779.372619        0.021678  5200000.000000 10000000.000000       -0.000000
20090430   137045.709757        0.013705  4600000.000000 10000000.000000       -0.000000
20090504   311151.650681        0.031115  3600000.000000 10000000.000000       -0.000000
