20070110    22888.946367        0.002289 20000000.000000 10000000.000000 10000000.000000
20070111   248914.536868        0.024891 14225134.668879 10000000.000000 10000000.000000
20070112   -19965.269000       -0.001997 20939540.307010 10000000.000000 10000000.000000
20070115     4427.614887        0.000443 22519787.531287 10000000.000000 10000000.000000
20070116    39522.452208        0.003952 18249710.952418 10000000.000000 10000000.000000
20070117    75721.238875        0.007572 16278725.367348 10000000.000000 10000000.000000
20070118   -16452.621627       -0.001645 22177690.987109 10000000.000000 10000000.000000
20070119   110269.108980        0.011027 13120548.519451 10000000.000000 10000000.000000
20070122   138243.234785        0.013824 12413456.618774 10000000.000000 10000000.000000
20070123   264467.446626        0.026447 13040687.412371 10000000.000000 10000000.000000
20070124   232504.802216        0.023250 19822989.540480 10000000.000000 10000000.000000
20070125    22972.890325        0.002297 15558653.479083 10000000.000000 10000000.000000
20070126   -15639.588791       -0.001564 20425139.024148 10000000.000000 10000000.000000
20070129    -8656.076928       -0.000866 14129410.812237 10000000.000000 10000000.000000
20070130   136255.638802        0.013626 16639470.254120 10000000.000000 10000000.000000
20070131    23517.297146        0.002352 19439538.719960 10000000.000000 10000000.000000
20070201   -67703.982283       -0.006770 19670376.255132 10000000.000000 10000000.000000
20070202   -94075.341268       -0.009408 12333311.118699 10000000.000000 10000000.000000
20070205    17114.412235        0.001711 13739611.975191 10000000.000000 10000000.000000
20070206   155923.271500        0.015592 13767286.117091 10000000.000000 10000000.000000
20070207    37201.842918        0.003720 17046231.910051 10000000.000000 10000000.000000
20070208    88788.382465        0.008879 16411130.429646 10000000.000000 10000000.000000
20070209     6153.359199        0.000615 18885386.510567 10000000.000000 10000000.000000
20070212   104195.169347        0.010420 17234245.468990 10000000.000000 10000000.000000
20070213    96747.494383        0.009675 17680223.257478 10000000.000000 10000000.000000
20070214    67095.462768        0.006710 16719866.372711 10000000.000000 10000000.000000
20070215    47860.206539        0.004786 15573764.499695 10000000.000000 10000000.000000
20070216    92293.610025        0.009229 15979022.112031 10000000.000000 10000000.000000
20070226   350955.643893        0.035096 17956808.061933 10000000.000000 10000000.000000
20070227   187605.597364        0.018761 17910943.348698 10000000.000000 10000000.000000
20070228  -239570.618742       -0.023957 24976198.081166 10000000.000000 10000000.000000
20070301  -428165.433395       -0.042817 11635862.175453 10000000.000000 10000000.000000
20070302   203541.393217        0.020354 12180450.837516 10000000.000000 10000000.000000
20070305   107485.654486        0.010749 12330767.536584 10000000.000000 10000000.000000
20070306   211976.659237        0.021198 19741813.067962 10000000.000000 10000000.000000
20070307   114934.933741        0.011493 16985461.113427 10000000.000000 10000000.000000
20070308   -24456.982222       -0.002446 19351487.411058 10000000.000000 10000000.000000
20070309    87434.991663        0.008743 15195084.924009 10000000.000000 10000000.000000
20070312   156640.897784        0.015664 20057307.604579 10000000.000000 10000000.000000
20070313   209769.317236        0.020977 18597145.810087 10000000.000000 10000000.000000
20070314   -26257.583444       -0.002626 17165935.992001 10000000.000000 10000000.000000
20070315    60313.445640        0.006031 17438519.556251 10000000.000000 10000000.000000
20070316   126849.207182        0.012685 15246259.545118 10000000.000000 10000000.000000
20070319   -22746.493059       -0.002275 20080140.540008 10000000.000000 10000000.000000
20070320    93987.199081        0.009399 14379912.356825 10000000.000000 10000000.000000
20070321    99205.041967        0.009921 16366651.358605 10000000.000000 10000000.000000
20070322    91572.397741        0.009157 18176115.473436 10000000.000000 10000000.000000
20070323    30894.604028        0.003089 18317268.742409 10000000.000000 10000000.000000
20070326   136348.764765        0.013635 18565358.496810 10000000.000000 10000000.000000
20070327   162536.578493        0.016254 16827917.387198 10000000.000000 10000000.000000
20070328    60866.141731        0.006087 18009809.099160 10000000.000000 10000000.000000
20070329   154507.197448        0.015451 20218085.225427 10000000.000000 10000000.000000
20070330    54972.245523        0.005497 18354982.920184 10000000.000000 10000000.000000
20070402    31215.743414        0.003122 15284716.291480 10000000.000000 10000000.000000
20070403    51033.593825        0.005103 16485022.936785 10000000.000000 10000000.000000
20070404    49595.474953        0.004960 19237998.644683 10000000.000000 10000000.000000
20070405    39534.926650        0.003953 19358433.253104 10000000.000000 10000000.000000
20070406    12410.172266        0.001241 16052169.357487 10000000.000000 10000000.000000
20070409    64606.429972        0.006461 18019971.206912 10000000.000000 10000000.000000
20070410    10448.092430        0.001045 17357503.857545 10000000.000000 10000000.000000
20070411    59292.311715        0.005929 18090955.327283 10000000.000000 10000000.000000
20070412    15521.865316        0.001552 18042227.066045 10000000.000000 10000000.000000
20070413   139463.856173        0.013946 18540757.840879 10000000.000000 10000000.000000
20070416    14433.767037        0.001443 21212166.687903 10000000.000000 10000000.000000
20070417   181169.701078        0.018117 14747748.423852 10000000.000000 10000000.000000
20070418   306327.883404        0.030633 20007917.481674 10000000.000000 10000000.000000
20070419     7297.696238        0.000730 19798010.825243 10000000.000000 10000000.000000
20070420  -107828.684056       -0.010783 22255752.463405 10000000.000000 10000000.000000
20070423   -45844.025451       -0.004584 12465784.564890 10000000.000000 10000000.000000
20070424   105139.568337        0.010514 17142364.284208 10000000.000000 10000000.000000
20070425    29257.528014        0.002926 17870259.191696 10000000.000000 10000000.000000
20070426   121332.521031        0.012133 18374207.459989 10000000.000000 10000000.000000
20070427   -90584.540829       -0.009058 16679190.394377 10000000.000000 10000000.000000
20070430  -188152.370723       -0.018815 18562778.086125 10000000.000000 10000000.000000
20070508  -115181.428781       -0.011518 14908626.643729 10000000.000000 10000000.000000
20070509    32286.887094        0.003229 14583474.784778 10000000.000000 10000000.000000
