20070110    13057.134823        0.001306 20000000.000000 10000000.000000 10000000.000000
20070111   -28687.296957       -0.002869  6032883.889135 10000000.000000 10000000.000000
20070112   189529.484748        0.018953  4768746.494416 10000000.000000 10000000.000000
20070115   -23709.630715       -0.002371  4945435.042289 10000000.000000 10000000.000000
20070116    65024.340798        0.006502  4224510.642680 10000000.000000 10000000.000000
20070117    50495.245191        0.005050  4221746.904812 10000000.000000 10000000.000000
20070118   -75262.064540       -0.007526  4257518.701929 10000000.000000 10000000.000000
20070119    54983.814948        0.005498  4187280.109725 10000000.000000 10000000.000000
20070122   -39507.588858       -0.003951  4481246.208900 10000000.000000 10000000.000000
20070123  -141661.304479       -0.014166  5080750.081098 10000000.000000 10000000.000000
20070124   -23537.423053       -0.002354  5004030.473129 10000000.000000 10000000.000000
20070125   133923.240650        0.013392  4069864.115946 10000000.000000 10000000.000000
20070126    24300.344331        0.002430  3677722.626321 10000000.000000 10000000.000000
20070129  -137237.181214       -0.013724  3111996.303943 10000000.000000 10000000.000000
20070130   -37075.630822       -0.003708  3709537.528138 10000000.000000 10000000.000000
20070131   -47789.974561       -0.004779  3304624.649526 10000000.000000 10000000.000000
20070201   -76845.629379       -0.007685  3638920.557512 10000000.000000 10000000.000000
20070202   -57576.506678       -0.005758  4180365.950905 10000000.000000 10000000.000000
20070205   -41760.665678       -0.004176  5171861.127625 10000000.000000 10000000.000000
20070206   -80647.790240       -0.008065  5782594.912062 10000000.000000 10000000.000000
20070207     7260.291926        0.000726  5219935.588081 10000000.000000 10000000.000000
20070208   -19730.143646       -0.001973  4430415.590322 10000000.000000 10000000.000000
20070209    18391.259077        0.001839  4801389.217963 10000000.000000 10000000.000000
20070212    43573.010809        0.004357  5407648.998578 10000000.000000 10000000.000000
20070213    13556.793519        0.001356  5812300.702308 10000000.000000 10000000.000000
20070214    -6348.501943       -0.000635  5259900.902393 10000000.000000 10000000.000000
20070215   -81126.927552       -0.008113  4804785.513091 10000000.000000 10000000.000000
20070216    -5893.623272       -0.000589  4648138.088414 10000000.000000 10000000.000000
20070226  -208458.346186       -0.020846  4240139.628617 10000000.000000 10000000.000000
20070227   -14702.424761       -0.001470  4509002.869747 10000000.000000 10000000.000000
20070228  -155742.640200       -0.015574  4356842.998377 10000000.000000 10000000.000000
20070301  -221399.699584       -0.022140  4149668.386987 10000000.000000 10000000.000000
20070302    20336.033040        0.002034  3846531.271151 10000000.000000 10000000.000000
20070305   -71097.075259       -0.007110  3365399.055219 10000000.000000 10000000.000000
20070306   105921.445474        0.010592  3832161.980124 10000000.000000 10000000.000000
20070307    63132.024295        0.006313  3607231.731991 10000000.000000 10000000.000000
20070308    17695.361244        0.001770  4162515.653479 10000000.000000 10000000.000000
20070309   -30987.940798       -0.003099  4265868.867100 10000000.000000 10000000.000000
20070312   -55668.444565       -0.005567  4604545.047934 10000000.000000 10000000.000000
20070313   -14781.469818       -0.001478  5269291.845159 10000000.000000 10000000.000000
20070314    -4496.566217       -0.000450  5363245.232468 10000000.000000 10000000.000000
20070315    37586.567744        0.003759  5957746.191211 10000000.000000 10000000.000000
20070316    45696.264725        0.004570  6304208.301431 10000000.000000 10000000.000000
20070319   -12003.383142       -0.001200  5845131.673460 10000000.000000 10000000.000000
20070320  -101520.886516       -0.010152  5667473.660687 10000000.000000 10000000.000000
20070321    66006.741373        0.006601  5754010.158057 10000000.000000 10000000.000000
20070322    38772.352513        0.003877  5323341.387416 10000000.000000 10000000.000000
20070323    -4869.687118       -0.000487  5024106.775415 10000000.000000 10000000.000000
20070326    18165.024471        0.001817  5390333.786478 10000000.000000 10000000.000000
20070327    41038.323676        0.004104  6062210.019181 10000000.000000 10000000.000000
20070328    19958.438584        0.001996  7104968.745003 10000000.000000 10000000.000000
20070329    26263.051450        0.002626  6292261.151984 10000000.000000 10000000.000000
20070330   -21526.077490       -0.002153  5781666.397479 10000000.000000 10000000.000000
20070402    27613.004439        0.002761  6020317.304581 10000000.000000 10000000.000000
20070403    44137.009663        0.004414  5541912.758884 10000000.000000 10000000.000000
20070404    61114.336759        0.006111  5777552.151914 10000000.000000 10000000.000000
20070405    17447.279985        0.001745  5972994.049451 10000000.000000 10000000.000000
20070406    -8061.032965       -0.000806  5624486.918899 10000000.000000 10000000.000000
20070409     4042.426852        0.000404  6706890.790926 10000000.000000 10000000.000000
20070410   -47868.918241       -0.004787  6303232.641529 10000000.000000 10000000.000000
20070411    20019.170807        0.002002  5623159.853097 10000000.000000 10000000.000000
20070412   -37870.164050       -0.003787  5937454.480541 10000000.000000 10000000.000000
20070413   120501.232806        0.012050  6000587.527510 10000000.000000 10000000.000000
20070416    37854.733613        0.003785  6229398.347457 10000000.000000 10000000.000000
20070417    35722.686670        0.003572  6383955.339586 10000000.000000 10000000.000000
20070418    16840.739221        0.001684  5789308.889679 10000000.000000 10000000.000000
20070419    39679.723721        0.003968  6510114.185430 10000000.000000 10000000.000000
20070420    26086.227146        0.002609  6257942.548590 10000000.000000 10000000.000000
20070423    74163.188213        0.007416  5791906.037341 10000000.000000 10000000.000000
20070424    70181.098329        0.007018  5640200.080188 10000000.000000 10000000.000000
20070425   -20627.967571       -0.002063  5684356.331367 10000000.000000 10000000.000000
20070426    24266.382912        0.002427  6614453.281666 10000000.000000 10000000.000000
20070427    42406.426905        0.004241  7305879.116387 10000000.000000 10000000.000000
20070430   -15725.824109       -0.001573  6305374.081491 10000000.000000 10000000.000000
20070508    40757.409824        0.004076  6782940.251008 10000000.000000 10000000.000000
