20070110   -12392.546116       -0.001239 20000000.000000 10000000.000000 10000000.000000
20070111    29515.845923        0.002952  2978817.490174 10000000.000000 10000000.000000
20070112   -19573.941143       -0.001957  1672748.212006 10000000.000000 10000000.000000
20070115    -6138.436588       -0.000614  1779914.886651 10000000.000000 10000000.000000
20070116    59534.292354        0.005953  1831409.713235 10000000.000000 10000000.000000
20070117   -23229.437698       -0.002323  1424683.162110 10000000.000000 10000000.000000
20070118  -105745.675135       -0.010575  1503954.394263 10000000.000000 10000000.000000
20070119    15489.522893        0.001549  3548974.786086 10000000.000000 10000000.000000
20070122     5575.089660        0.000558  2099824.857489 10000000.000000 10000000.000000
20070123   -17669.205610       -0.001767  1874562.270222 10000000.000000 10000000.000000
20070124   -18111.793230       -0.001811  2487949.695281 10000000.000000 10000000.000000
20070125    38301.531182        0.003830  1976807.516749 10000000.000000 10000000.000000
20070126     1770.727657        0.000177  2783793.195831 10000000.000000 10000000.000000
20070129   -49141.564416       -0.004914  1957153.234920 10000000.000000 10000000.000000
20070130    39744.194661        0.003974  2255101.960504 10000000.000000 10000000.000000
20070131    27666.666507        0.002767  2095832.421169 10000000.000000 10000000.000000
20070201    23667.984135        0.002367  1488796.089178 10000000.000000 10000000.000000
20070202   -24815.709281       -0.002482  1880767.191285 10000000.000000 10000000.000000
20070205    -1732.927691       -0.000173  2322549.474241 10000000.000000 10000000.000000
20070206   -94981.609898       -0.009498  2469195.633955 10000000.000000 10000000.000000
20070207   -10537.443190       -0.001054  2112129.424253 10000000.000000 10000000.000000
20070208    20339.581738        0.002034   928899.019021 10000000.000000 10000000.000000
20070209     5659.323653        0.000566  2709855.767075 10000000.000000 10000000.000000
20070212    35101.545892        0.003510  2756744.249413 10000000.000000 10000000.000000
20070213     -652.650468       -0.000065  3368110.565592 10000000.000000 10000000.000000
20070214   -57571.154718       -0.005757  2755198.079130 10000000.000000 10000000.000000
20070215     -267.247421       -0.000027  1498684.965372 10000000.000000 10000000.000000
20070216    16844.173764        0.001684  1799984.613883 10000000.000000 10000000.000000
20070226  -133511.565275       -0.013351  2784207.167391 10000000.000000 10000000.000000
20070227    -2043.417442       -0.000204  3706896.526894 10000000.000000 10000000.000000
20070228   -18299.371799       -0.001830  2537360.745517 10000000.000000 10000000.000000
20070301     9267.671682        0.000927  2347768.709445 10000000.000000 10000000.000000
20070302   -16420.657262       -0.001642  2110243.666561 10000000.000000 10000000.000000
20070305   -27410.132573       -0.002741  1532216.484097 10000000.000000 10000000.000000
20070306    14665.616624        0.001467  2816615.738429 10000000.000000 10000000.000000
20070307    50451.607062        0.005045  2756651.986263 10000000.000000 10000000.000000
20070308    20711.897083        0.002071  3374430.723973 10000000.000000 10000000.000000
20070309   -46703.425138       -0.004670  2288944.696520 10000000.000000 10000000.000000
20070312    10456.240156        0.001046  2142698.875293 10000000.000000 10000000.000000
20070313   -15956.115689       -0.001596  2872698.592056 10000000.000000 10000000.000000
20070314    -9517.925817       -0.000952  3555253.429886 10000000.000000 10000000.000000
20070315     2091.823290        0.000209  2253660.861972 10000000.000000 10000000.000000
20070316    59164.160665        0.005916  3315071.637863 10000000.000000 10000000.000000
20070319    36852.274905        0.003685  2047386.054680 10000000.000000 10000000.000000
20070320   -81741.238476       -0.008174  3145774.168198 10000000.000000 10000000.000000
20070321   -70451.192097       -0.007045  2288627.739129 10000000.000000 10000000.000000
20070322    17796.539405        0.001780  1916930.632075 10000000.000000 10000000.000000
20070323     7176.341471        0.000718  3123470.702015 10000000.000000 10000000.000000
20070326    -3690.515721       -0.000369  2788407.252839 10000000.000000 10000000.000000
20070327    12164.568680        0.001216  3562370.546760 10000000.000000 10000000.000000
20070328    14040.501385        0.001404  4745355.195902 10000000.000000 10000000.000000
20070329    60584.169919        0.006058  2417312.933442 10000000.000000 10000000.000000
20070330    26887.049911        0.002689  4891055.325652 10000000.000000 10000000.000000
20070402   -24298.625195       -0.002430  4768843.049063 10000000.000000 10000000.000000
20070403     -167.359495       -0.000017  3479428.382412 10000000.000000 10000000.000000
20070404    11156.915598        0.001116  2195804.915566 10000000.000000 10000000.000000
20070405   -21927.209593       -0.002193  1802660.597102 10000000.000000 10000000.000000
20070406     7572.385438        0.000757  3258922.555688 10000000.000000 10000000.000000
20070409    66167.396661        0.006617  3337162.546826 10000000.000000 10000000.000000
20070410   -48681.430568       -0.004868  4258734.273486 10000000.000000 10000000.000000
20070411    22313.129278        0.002231  2342155.973533 10000000.000000 10000000.000000
20070412   -61366.788711       -0.006137  2573175.490126 10000000.000000 10000000.000000
20070413   -17225.097701       -0.001723  4133237.009618 10000000.000000 10000000.000000
20070416    20912.021202        0.002091  2860070.511211 10000000.000000 10000000.000000
20070417    22756.644587        0.002276  3709119.737116 10000000.000000 10000000.000000
20070418   -31946.237566       -0.003195  2785584.177027 10000000.000000 10000000.000000
20070419   -34170.332248       -0.003417  3822731.576651 10000000.000000 10000000.000000
20070420    34688.373820        0.003469  4410479.150731 10000000.000000 10000000.000000
20070423   -20528.874558       -0.002053  4859095.948551 10000000.000000 10000000.000000
20070424    -8722.640677       -0.000872  3248381.924034 10000000.000000 10000000.000000
20070425    23606.190420        0.002361  2310839.706869 10000000.000000 10000000.000000
20070426     3239.538247        0.000324  3710510.062777 10000000.000000 10000000.000000
20070427   -43745.450832       -0.004375  5160795.484908 10000000.000000 10000000.000000
20070430   -90602.728103       -0.009060  5849134.311814 10000000.000000 10000000.000000
20070508   -35080.165817       -0.003508  4751795.549251 10000000.000000 10000000.000000
